,@type,dc:date,odpt:actualTime,odpt:aircraftModel,odpt:airline,odpt:departureAirport,odpt:destinationAirport,odpt:estimatedTime,odpt:flightNumber,odpt:flightStatus,odpt:operator,odpt:scheduledTime,odpt:terminal,owl:sameAs
10,odpt:FlightInformationArrival,2018-08-29T08:45:39+09:00,,,odpt.Airline:QFA,odpt.Airport:SYD,odpt.Airport:HND,06:24,['QF0025'],odpt.FlightStatus:Arrived,odpt.Operator:HND-TIAT,05:15,odpt.AirportTerminal:HND.InternationalPassengerTerminal,odpt.FlightInformationArrival:HND.QF0025
11,odpt:FlightInformationArrival,2018-08-29T08:45:39+09:00,,,odpt.Airline:HDA,odpt.Airport:HHP,odpt.Airport:HND,05:15,"['KA0396', 'CX5396']",odpt.FlightStatus:Arrived,odpt.Operator:HND-TIAT,05:25,odpt.AirportTerminal:HND.InternationalPassengerTerminal,odpt.FlightInformationArrival:HND.KA0396
12,odpt:FlightInformationArrival,2018-08-29T08:45:39+09:00,,,odpt.Airline:ANA,odpt.Airport:SYD,odpt.Airport:HND,04:58,"['NH0880', 'NZ4158']",odpt.FlightStatus:Arrived,odpt.Operator:HND-TIAT,05:30,odpt.AirportTerminal:HND.InternationalPassengerTerminal,odpt.FlightInformationArrival:HND.NH0880
13,odpt:FlightInformationArrival,2018-08-29T08:45:39+09:00,,,odpt.Airline:ANA,odpt.Airport:PVG,odpt.Airport:HND,05:20,"['NH0968', 'CA6671', 'HO3137']",odpt.FlightStatus:Arrived,odpt.Operator:HND-TIAT,05:40,odpt.AirportTerminal:HND.InternationalPassengerTerminal,odpt.FlightInformationArrival:HND.NH0968
14,odpt:FlightInformationArrival,2018-08-29T08:45:39+09:00,,,odpt.Airline:JAL,odpt.Airport:SIN,odpt.Airport:HND,05:39,"['JL0036', 'QF4025', 'UL3336', 'HA5007', 'BA4606']",odpt.FlightStatus:Arrived,odpt.Operator:HND-TIAT,05:50,odpt.AirportTerminal:HND.InternationalPassengerTerminal,odpt.FlightInformationArrival:HND.JL0036
15,odpt:FlightInformationArrival,2018-08-29T08:45:39+09:00,,,odpt.Airline:ANA,odpt.Airport:BKK,odpt.Airport:HND,05:48,"['NH0850', 'AC6272', 'ET1403', '9W4162', 'TG6107']",odpt.FlightStatus:Arrived,odpt.Operator:HND-TIAT,05:55,odpt.AirportTerminal:HND.InternationalPassengerTerminal,odpt.FlightInformationArrival:HND.NH0850
16,odpt:FlightInformationArrival,2018-08-29T08:45:39+09:00,,,odpt.Airline:JAL,odpt.Airport:BKK,odpt.Airport:HND,05:55,"['JL0034', 'UL3360', 'PG4153']",odpt.FlightStatus:Arrived,odpt.Operator:HND-TIAT,06:05,odpt.AirportTerminal:HND.InternationalPassengerTerminal,odpt.FlightInformationArrival:HND.JL0034
17,odpt:FlightInformationArrival,2018-08-29T08:45:39+09:00,,,odpt.Airline:ANA,odpt.Airport:HHP,odpt.Airport:HND,06:04,"['NH0822', '9W4165', 'UA7908']",odpt.FlightStatus:Arrived,odpt.Operator:HND-TIAT,06:10,odpt.AirportTerminal:HND.InternationalPassengerTerminal,odpt.FlightInformationArrival:HND.NH0822
18,odpt:FlightInformationArrival,2018-08-29T08:45:39+09:00,,,odpt.Airline:ANA,odpt.Airport:SIN,odpt.Airport:HND,06:19,"['NH0844', 'AC6227', 'SQ5906', '9W4170']",odpt.FlightStatus:Arrived,odpt.Operator:HND-TIAT,06:30,odpt.AirportTerminal:HND.InternationalPassengerTerminal,odpt.FlightInformationArrival:HND.NH0844
19,odpt:FlightInformationArrival,2018-08-29T08:45:39+09:00,,,odpt.Airline:ANA,odpt.Airport:FRA,odpt.Airport:HND,06:28,"['NH0204', 'LH4948']",odpt.FlightStatus:Arrived,odpt.Operator:HND-TIAT,06:35,odpt.AirportTerminal:HND.InternationalPassengerTerminal,odpt.FlightInformationArrival:HND.NH0204
